created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2023-05-07T16:44:10+05:30,135,0,0,319,157,0,167,,,107.1666667,0
2023-05-07T16:44:31+05:30,136,592,520,628,614,572,596,,,587,1
2023-05-07T16:44:49+05:30,137,557,217,545,513,251,156,,,373.1666667,0
2023-05-07T16:45:05+05:30,138,580,315,0,290,446,203,,,305.6666667,0
2023-05-07T16:45:21+05:30,139,0,0,570,285,0,284,,,189.8333333,0
2023-05-07T16:45:44+05:30,140,105,0,209,110,0,62,,,81,0
2023-05-07T16:46:58+05:30,141,0,0,0,0,0,0,,,0,0
2023-05-07T16:47:14+05:30,142,0,0,0,13,49,0,,,10.33333333,0
2023-05-07T16:47:33+05:30,143,0,0,282,217,104,263,,,144.3333333,0
2023-05-07T16:47:52+05:30,144,510,525,577,541,509,524,,,531,1
2023-05-07T16:48:48+05:30,145,0,0,484,237,0,235,,,159.3333333,0
2023-05-07T16:49:16+05:30,146,495,0,0,251,263,0,,,168.1666667,0
2023-05-07T16:50:22+05:30,147,0,0,478,233,0,240,,,158.5,0
2023-05-07T16:50:49+05:30,148,556,148,566,563,360,357,,,425,0
2023-05-07T16:51:20+05:30,149,608,455,584,597,536,521,,,550.1666667,1
2023-05-07T16:51:57+05:30,150,611,598,597,600,591,558,,,592.5,1
2023-05-07T16:52:31+05:30,151,428,419,487,485,484,496,,,466.5,0
2023-05-07T16:53:11+05:30,152,560,485,591,575,522,538,,,545.1666667,1
2023-05-07T16:53:27+05:30,153,543,468,584,563,507,527,,,532,1
2023-05-07T16:53:50+05:30,154,618,601,552,584,611,581,,,591.1666667,1
2023-05-07T16:54:06+05:30,155,225,369,474,346,293,376,,,347.1666667,0
2023-05-07T16:54:29+05:30,156,635,596,423,534,617,512,,,552.8333333,1
2023-05-07T16:54:47+05:30,157,558,444,547,553,501,496,,,516.5,1
2023-05-07T16:56:27+05:30,158,574,205,442,489,267,300,,,379.5,0
2023-05-07T16:56:45+05:30,159,612,518,591,605,587,581,,,582.3333333,1
2023-05-07T16:57:13+05:30,160,0,311,11,83,204,232,,,140.1666667,0
2023-05-07T16:57:31+05:30,161,5,5,5,5,4,4,,,4.666666667,0
2023-05-07T16:58:04+05:30,162,0,0,354,178,0,199,,,121.8333333,0
2023-05-07T16:58:22+05:30,163,594,590,583,585,545,482,,,563.1666667,1
2023-05-07T16:58:40+05:30,164,616,554,577,597,589,572,,,584.1666667,1
2023-05-07T16:58:58+05:30,165,526,250,244,345,346,5,,,286,0
2023-05-07T16:59:20+05:30,166,417,0,0,179,163,0,,,126.5,0
2023-05-07T16:59:40+05:30,167,620,552,610,615,590,582,,,594.8333333,1
2023-05-07T17:00:51+05:30,168,561,547,612,585,551,573,,,571.5,1
2023-05-07T17:01:55+05:30,169,534,571,602,562,540,552,,,560.1666667,1
2023-05-07T17:02:11+05:30,170,607,501,585,602,574,566,,,572.5,1
2023-05-07T17:02:42+05:30,171,194,0,166,171,80,97,,,118,0
2023-05-07T17:03:12+05:30,172,490,5,585,558,471,542,,,441.8333333,0
2023-05-07T17:03:31+05:30,173,273,0,473,437,226,432,,,306.8333333,0
2023-05-07T17:04:48+05:30,174,0,0,0,0,0,0,,,0,0
2023-05-07T17:06:00+05:30,175,621,485,560,580,546,491,,,547.1666667,1
2023-05-07T17:06:16+05:30,176,625,611,610,620,620,614,,,616.6666667,1
2023-05-07T17:07:08+05:30,177,116,476,121,78,289,297,,,229.5,0
2023-05-07T17:07:26+05:30,178,602,554,374,528,591,554,,,533.8333333,1
2023-05-07T17:07:56+05:30,179,565,502,270,433,538,425,,,455.5,0
2023-05-07T17:08:36+05:30,180,465,0,322,398,235,147,,,261.1666667,0
2023-05-07T17:08:55+05:30,181,611,588,621,618,606,612,,,609.3333333,1
2023-05-07T17:09:14+05:30,182,279,246,260,274,144,102,,,217.5,0
2023-05-07T17:09:33+05:30,183,527,481,573,547,478,478,,,514,1
2023-05-07T17:09:51+05:30,184,594,591,539,556,557,518,,,559.1666667,1
2023-05-07T17:10:28+05:30,185,342,5,420,383,178,214,,,257,0
2023-05-07T17:10:46+05:30,186,4,6,168,101,4,111,,,65.66666667,0
2023-05-07T17:11:16+05:30,187,614,559,603,609,588,582,,,592.5,1
2023-05-07T17:11:33+05:30,188,0,0,0,0,0,0,,,0,0
2023-05-07T17:11:49+05:30,189,447,260,0,223,353,129,,,235.3333333,0
2023-05-07T17:12:22+05:30,190,311,5,58,155,74,122,,,120.8333333,0
2023-05-07T17:12:38+05:30,191,598,40,500,549,323,274,,,380.6666667,0
2023-05-07T17:12:54+05:30,192,597,33,451,511,296,208,,,349.3333333,0
2023-05-07T17:13:13+05:30,193,591,93,529,561,345,315,,,405.6666667,0
2023-05-07T17:13:42+05:30,194,482,304,183,347,384,226,,,321,0
2023-05-07T17:13:58+05:30,195,617,554,597,608,583,571,,,588.3333333,1
2023-05-07T17:14:13+05:30,196,538,0,594,570,321,304,,,387.8333333,0
2023-05-07T17:14:32+05:30,197,523,98,503,516,348,349,,,389.5,0
2023-05-07T17:14:48+05:30,198,622,155,378,500,383,258,,,382.6666667,0
2023-05-07T17:15:06+05:30,199,376,5,386,362,180,228,,,256.1666667,0
2023-05-07T17:15:24+05:30,200,600,165,391,508,388,305,,,392.8333333,0
2023-05-07T17:15:43+05:30,201,0,0,0,0,0,0,,,0,0
2023-05-07T17:16:51+05:30,202,420,0,0,216,222,0,,,143,0
2023-05-07T17:17:32+05:30,203,571,0,535,562,290,288,,,374.3333333,0
2023-05-07T17:18:25+05:30,204,552,501,0,276,534,259,,,353.6666667,0
2023-05-07T17:18:49+05:30,205,559,619,609,581,586,612,,,594.3333333,1
2023-05-07T17:19:05+05:30,206,5,472,526,275,240,519,,,339.5,0
2023-05-07T17:19:20+05:30,207,480,615,620,551,546,617,,,571.5,1
2023-05-07T17:19:38+05:30,208,570,623,628,599,597,626,,,607.1666667,1
2023-05-07T17:20:02+05:30,209,519,569,579,547,529,546,,,548.1666667,1
2023-05-07T17:20:26+05:30,210,547,581,589,569,567,595,,,574.6666667,1
2023-05-07T17:20:41+05:30,211,542,491,73,326,522,432,,,397.6666667,0
2023-05-07T17:21:08+05:30,212,548,486,480,481,509,331,,,472.5,0
2023-05-07T17:21:40+05:30,213,508,582,554,529,545,565,,,547.1666667,1
2023-05-07T17:22:09+05:30,214,0,0,0,0,0,0,,,0,0
2023-05-07T17:22:25+05:30,215,606,589,601,606,599,605,,,601,1
2023-05-07T17:23:05+05:30,216,619,448,598,611,540,532,,,558,1
2023-05-07T17:23:46+05:30,217,519,0,449,494,452,475,,,398.1666667,0
2023-05-07T17:24:04+05:30,218,615,450,558,577,497,454,,,525.1666667,1
2023-05-07T17:24:19+05:30,219,621,541,562,592,601,573,,,581.6666667,1
2023-05-07T17:25:46+05:30,220,5,5,5,0,0,0,,,2.5,0
2023-05-07T17:27:30+05:30,221,616,461,561,592,548,527,,,550.8333333,1
2023-05-07T17:28:07+05:30,222,630,309,526,578,471,420,,,489,0
2023-05-07T17:28:35+05:30,223,4,4,5,4,0,0,,,2.833333333,0
2023-05-07T17:28:51+05:30,224,624,440,597,614,547,536,,,559.6666667,1
2023-05-07T17:29:10+05:30,225,634,0,437,535,317,219,,,357,0
2023-05-07T17:29:27+05:30,226,589,0,538,565,299,282,,,378.8333333,0
2023-05-07T17:29:53+05:30,227,240,5,4,117,120,0,,,81,0
2023-05-07T17:30:09+05:30,228,0,0,0,0,0,0,,,0,0
2023-05-07T17:31:28+05:30,229,0,0,0,0,0,0,,,0,0
2023-05-07T17:32:28+05:30,230,617,564,0,309,470,19,,,329.8333333,0
2023-05-07T17:32:44+05:30,231,627,573,5,314,600,286,,,400.8333333,0
2023-05-07T17:33:00+05:30,232,533,152,0,277,445,188,,,265.8333333,0
2023-05-07T17:33:51+05:30,233,618,610,5,311,615,306,,,410.8333333,0
2023-05-07T17:34:06+05:30,234,575,407,0,291,526,241,,,340,0
2023-05-07T17:34:21+05:30,235,633,613,4,316,624,308,,,416.3333333,0
2023-05-07T17:34:50+05:30,236,626,606,0,322,612,298,,,410.6666667,0
2023-05-07T17:35:08+05:30,237,628,580,4,316,578,240,,,391,0
2023-05-07T17:35:23+05:30,238,533,471,5,254,405,146,,,302.3333333,0
2023-05-07T17:35:47+05:30,239,543,408,0,265,395,147,,,293,0
2023-05-07T17:36:23+05:30,240,415,4,5,211,210,0,,,140.8333333,0
2023-05-07T17:36:47+05:30,241,484,242,0,248,426,187,,,264.5,0
2023-05-07T17:37:22+05:30,242,617,531,0,311,571,263,,,382.1666667,0
2023-05-07T17:37:40+05:30,243,548,365,5,281,494,245,,,323,0
2023-05-07T17:38:38+05:30,244,0,0,0,0,0,0,,,0,0
2023-05-07T17:38:54+05:30,245,453,319,0,227,367,160,,,254.3333333,0
2023-05-07T17:39:11+05:30,246,251,0,0,128,138,0,,,86.16666667,0
2023-05-07T17:39:27+05:30,247,513,274,4,259,400,147,,,266.1666667,0
2023-05-07T17:39:42+05:30,248,239,0,0,122,118,0,,,79.83333333,0
2023-05-07T17:40:02+05:30,249,514,298,0,258,439,192,,,283.5,0
2023-05-07T17:40:17+05:30,250,593,576,0,298,593,297,,,392.8333333,0
2023-05-07T17:40:36+05:30,251,606,607,5,306,610,307,,,406.8333333,0
2023-05-07T17:40:53+05:30,252,576,525,0,280,481,159,,,336.8333333,0
2023-05-07T17:41:11+05:30,253,548,458,0,275,523,253,,,342.8333333,0
2023-05-07T17:41:30+05:30,254,574,525,0,288,559,273,,,369.8333333,0
2023-05-07T17:41:50+05:30,255,572,442,0,287,506,217,,,337.3333333,0
2023-05-07T17:42:05+05:30,256,582,470,5,292,521,236,,,351,0
2023-05-07T17:42:34+05:30,257,520,332,0,251,374,127,,,267.3333333,0
2023-05-07T17:42:52+05:30,258,560,555,5,285,581,300,,,381,0
2023-05-07T17:43:08+05:30,259,607,510,4,299,478,157,,,342.5,0
2023-05-07T17:43:25+05:30,260,578,497,5,292,543,260,,,362.5,0
2023-05-07T17:43:42+05:30,261,513,256,5,259,385,130,,,258,0
2023-05-07T17:43:58+05:30,262,586,477,0,296,576,287,,,370.3333333,0
2023-05-07T17:44:16+05:30,263,395,0,0,209,238,4,,,141,0
2023-05-07T17:44:31+05:30,264,584,581,0,295,596,297,,,392.1666667,0
2023-05-07T17:44:49+05:30,265,611,523,0,301,496,176,,,351.1666667,0
2023-05-07T17:45:05+05:30,266,570,525,0,285,551,264,,,365.8333333,0
2023-05-07T17:45:23+05:30,267,612,589,5,308,575,266,,,392.5,0
2023-05-07T17:45:42+05:30,268,543,552,0,279,589,301,,,377.3333333,0
2023-05-07T17:46:02+05:30,269,434,278,0,219,371,155,,,242.8333333,0
2023-05-07T17:46:37+05:30,270,339,185,0,144,24,0,,,115.3333333,0
2023-05-07T17:47:08+05:30,271,564,573,0,287,584,298,,,384.3333333,0
2023-05-07T17:47:36+05:30,272,429,0,0,238,375,139,,,196.8333333,0
2023-05-07T17:47:55+05:30,273,616,522,0,313,577,270,,,383,0
2023-05-07T17:48:35+05:30,274,609,520,0,309,590,285,,,385.5,0
2023-05-07T17:49:28+05:30,275,616,564,0,308,579,260,,,387.8333333,0
2023-05-07T17:50:24+05:30,276,597,601,0,300,605,302,,,400.8333333,0
2023-05-07T17:50:40+05:30,277,614,559,0,303,541,207,,,370.6666667,0
2023-05-07T17:50:58+05:30,278,625,605,4,313,612,296,,,409.1666667,0
2023-05-07T17:51:28+05:30,279,606,617,0,303,607,301,,,405.6666667,0
2023-05-07T17:52:21+05:30,280,625,598,0,313,609,292,,,406.1666667,0
2023-05-07T17:52:54+05:30,281,581,290,0,297,469,200,,,306.1666667,0
2023-05-07T17:53:23+05:30,282,623,604,0,312,617,303,,,409.8333333,0
2023-05-07T17:53:59+05:30,283,496,348,0,279,510,271,,,317.3333333,0
2023-05-07T17:54:34+05:30,284,483,398,5,257,486,240,,,311.5,0
2023-05-07T17:55:09+05:30,285,627,550,0,314,587,272,,,391.6666667,0
2023-05-07T17:55:39+05:30,286,621,545,0,311,586,274,,,389.5,0
2023-05-07T17:55:55+05:30,287,619,518,4,313,591,287,,,388.6666667,0
2023-05-07T17:56:13+05:30,288,508,4,4,261,263,4,,,174,0
2023-05-07T17:56:46+05:30,289,562,300,4,277,271,0,,,235.6666667,0
2023-05-07T17:57:02+05:30,290,522,333,0,262,439,189,,,290.8333333,0
2023-05-07T17:57:32+05:30,291,607,542,5,304,571,260,,,381.5,0
2023-05-07T17:57:49+05:30,292,478,218,0,244,406,189,,,255.8333333,0
2023-05-07T17:58:09+05:30,293,585,486,0,299,587,290,,,374.5,0
2023-05-07T17:58:37+05:30,294,0,0,0,0,0,0,,,0,0
2023-05-07T17:59:42+05:30,295,622,604,0,311,612,300,,,408.1666667,0
2023-05-07T17:59:58+05:30,296,616,556,0,309,588,278,,,391.1666667,0
2023-05-07T18:00:54+05:30,297,622,576,5,310,540,224,,,379.5,0
2023-05-07T18:01:22+05:30,298,378,0,0,234,323,127,,,177,0
2023-05-07T18:01:39+05:30,299,0,0,0,0,0,0,,,0,0
2023-05-07T18:01:59+05:30,300,292,3,4,144,142,0,,,97.5,0
2023-05-07T18:02:30+05:30,301,0,0,0,4,5,4,,,2.166666667,0
2023-05-07T18:02:46+05:30,302,0,0,0,0,0,0,,,0,0
2023-05-07T18:03:02+05:30,303,0,0,647,323,0,324,,,215.6666667,0
2023-05-07T18:05:48+05:30,304,3,5,625,315,5,315,,,211.3333333,0
2023-05-07T18:06:04+05:30,305,0,0,573,282,0,206,,,176.8333333,0
2023-05-07T18:06:44+05:30,306,0,0,635,315,0,285,,,205.8333333,0
2023-05-07T18:07:04+05:30,307,0,0,472,223,0,199,,,149,0
2023-05-07T18:07:39+05:30,308,0,0,643,321,0,321,,,214.1666667,0
2023-05-07T18:07:55+05:30,309,5,5,634,320,4,318,,,214.3333333,0
2023-05-07T18:08:10+05:30,310,4,5,582,283,0,169,,,173.8333333,0
2023-05-07T18:08:26+05:30,311,4,5,530,281,4,299,,,187.1666667,0
2023-05-07T18:08:46+05:30,312,0,0,562,293,0,310,,,194.1666667,0
2023-05-07T18:09:02+05:30,313,0,0,582,298,0,315,,,199.1666667,0
2023-05-07T18:10:27+05:30,314,0,0,642,321,0,320,,,213.8333333,0
2023-05-07T18:10:43+05:30,315,4,5,579,291,0,290,,,194.8333333,0
2023-05-07T18:11:39+05:30,316,0,0,645,324,0,323,,,215.3333333,0
2023-05-07T18:12:07+05:30,317,0,0,304,152,0,153,,,101.5,0
2023-05-07T18:12:36+05:30,318,0,0,375,189,0,230,,,132.3333333,0
2023-05-07T18:12:55+05:30,319,0,0,504,275,0,301,,,180,0
2023-05-07T18:13:34+05:30,320,5,5,4,4,0,0,,,3,0
2023-05-07T18:13:52+05:30,321,0,378,0,0,212,219,,,134.8333333,0
2023-05-07T18:14:10+05:30,322,4,192,5,5,144,137,,,81.16666667,0
2023-05-07T18:14:46+05:30,323,0,546,0,0,288,293,,,187.8333333,0
2023-05-07T18:15:05+05:30,324,5,630,5,5,318,319,,,213.6666667,0
2023-05-07T18:15:21+05:30,325,4,478,4,4,254,283,,,171.1666667,0
2023-05-07T18:15:37+05:30,326,0,617,0,0,311,311,,,206.5,0
2023-05-07T18:15:53+05:30,327,5,616,5,5,309,308,,,208,0
2023-05-07T18:16:13+05:30,328,0,560,0,0,278,277,,,185.8333333,0
2023-05-07T18:16:28+05:30,329,4,261,4,5,139,152,,,94.16666667,0
2023-05-07T18:16:56+05:30,330,5,558,5,5,293,298,,,194,0
2023-05-07T18:17:12+05:30,331,0,490,0,0,245,244,,,163.1666667,0
2023-05-07T18:17:43+05:30,332,0,529,0,0,264,264,,,176.1666667,0
2023-05-07T18:18:16+05:30,333,5,370,5,4,191,196,,,128.5,0
2023-05-07T18:18:32+05:30,334,0,607,0,0,291,276,,,195.6666667,0
2023-05-07T18:19:02+05:30,335,5,575,5,5,290,290,,,195,0
2023-05-07T18:19:28+05:30,336,0,602,0,5,301,301,,,201.5,0
2023-05-07T18:19:51+05:30,337,0,587,0,4,297,299,,,197.8333333,0
2023-05-07T18:20:07+05:30,338,0,0,0,0,0,0,,,0,0
2023-05-07T18:20:48+05:30,339,4,570,5,5,259,227,,,178.3333333,0
2023-05-07T18:21:57+05:30,340,0,618,0,0,309,309,,,206,0
2023-05-07T18:22:25+05:30,341,5,581,4,4,283,271,,,191.3333333,0
2023-05-07T18:23:01+05:30,342,0,614,0,4,312,315,,,207.5,0
2023-05-07T18:23:37+05:30,343,0,613,0,0,307,307,,,204.5,0
2023-05-07T18:24:04+05:30,344,0,629,0,0,315,315,,,209.8333333,0
2023-05-07T18:24:44+05:30,345,0,543,0,0,209,158,,,151.6666667,0
2023-05-07T18:25:32+05:30,346,0,613,0,0,310,314,,,206.1666667,0
2023-05-07T18:26:04+05:30,347,5,4,4,5,0,0,,,3,0
2023-05-07T18:26:32+05:30,348,0,0,0,4,0,0,,,0.666666667,0
2023-05-07T18:27:43+05:30,349,0,623,0,0,307,303,,,205.5,0
